State,Date,Crash_Type,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Articulated_Truck_Involvement,Speed_Limit,Road_User,Gender,Age
QLD,01-Jan-17,Pedestrian,No,No,No,50,Pedestrian,Female,64
WA,01-Jan-17,Single,No,No,No,100,Motorcycle rider,Male,21
WA,01-Jan-17,Single,No,No,No,70,Driver,Male,25
NSW,02-Jan-17,Single,No,No,No,50,Driver,Male,28
NSW,02-Jan-17,Multiple,No,No,No,80,Motorcycle rider,Male,26
QLD,02-Jan-17,Pedestrian,No,No,No,100,Pedestrian,Female,30
WA,02-Jan-17,Single,No,No,No,110,Driver,Male,24
NSW,03-Jan-17,Multiple,No,Yes,Yes,100,Driver,Male,29
NSW,03-Jan-17,Multiple,No,Yes,Yes,100,Driver,Male,52
QLD,03-Jan-17,Multiple,No,No,No,100,Driver,Male,74
WA,03-Jan-17,Single,No,No,No,70,Motorcycle rider,Male,23
QLD,04-Jan-17,Multiple,No,No,No,100,Motorcycle rider,Male,69
NSW,05-Jan-17,Pedestrian,No,No,Yes,60,Pedestrian,Male,56
VIC,05-Jan-17,Multiple,No,No,No,100,Driver,Male,44
VIC,06-Jan-17,Multiple,No,No,No,100,Passenger,Female,17
QLD,06-Jan-17,Single,No,No,No,100,Driver,Male,24
QLD,06-Jan-17,Multiple,No,No,No,50,Passenger,Male,19
NSW,07-Jan-17,Multiple,No,No,No,100,Driver,Female,19
WA,08-Jan-17,Single,No,No,No,0,Driver,Male,89
NSW,09-Jan-17,Single,No,No,No,70,Driver,Female,71
VIC,09-Jan-17,Single,No,No,No,50,Passenger,Female,96
NSW,10-Jan-17,Multiple,No,No,No,100,Driver,Female,20
QLD,10-Jan-17,Pedestrian,No,Yes,Yes,100,Pedestrian,Male,34
QLD,10-Jan-17,Single,No,No,No,50,Motorcycle rider,Male,31
SA,10-Jan-17,Multiple,No,No,No,100,Driver,Female,81
NSW,11-Jan-17,Single,No,No,No,100,Driver,Male,23
VIC,11-Jan-17,Single,No,No,No,100,Driver,Male,26
VIC,11-Jan-17,Multiple,No,No,Yes,100,Other/unknown,Female,61
SA,11-Jan-17,Pedestrian,No,No,No,50,Pedestrian,Female,45
WA,11-Jan-17,Single,No,No,No,80,Passenger,Male,10
NSW,12-Jan-17,Single,No,No,No,100,Driver,Male,29
VIC,12-Jan-17,Multiple,No,Yes,No,0,Motorcycle rider,Female,45
QLD,12-Jan-17,Single,No,No,No,80,Driver,Male,41
QLD,12-Jan-17,Multiple,No,No,No,60,Passenger,Female,70
NSW,13-Jan-17,Single,No,No,No,50,Driver,Male,91
NSW,13-Jan-17,Single,No,No,No,100,Driver,Male,84
VIC,13-Jan-17,Single,No,No,No,100,Passenger,Female,3
QLD,13-Jan-17,Single,No,No,No,80,Motorcycle rider,Male,50
QLD,13-Jan-17,Single,No,No,No,50,Motorcycle rider,Female,59
QLD,13-Jan-17,Single,No,No,No,80,Motorcycle rider,Male,41
SA,13-Jan-17,Multiple,No,Yes,No,110,Driver,Male,62
WA,13-Jan-17,Single,No,No,No,90,Driver,Male,36
TAS,13-Jan-17,Multiple,No,No,No,60,Motorcycle rider,Male,42
TAS,13-Jan-17,Single,No,No,No,100,Motorcycle rider,Male,46
VIC,14-Jan-17,Single,No,No,No,60,Passenger,Male,19
VIC,15-Jan-17,Multiple,No,No,No,100,Passenger,Female,38
NSW,16-Jan-17,Pedestrian,No,Yes,No,60,Pedestrian,Female,48
VIC,16-Jan-17,Pedestrian,No,No,No,60,Pedestrian,Female,53
QLD,16-Jan-17,Multiple,No,No,No,80,Passenger,Female,67
QLD,16-Jan-17,Single,No,No,No,70,Driver,Male,61
WA,16-Jan-17,Single,No,Yes,No,50,Driver,Male,48
NSW,17-Jan-17,Multiple,No,No,No,80,Motorcycle rider,Male,60
VIC,17-Jan-17,Multiple,No,No,Yes,110,Driver,Female,79
NSW,18-Jan-17,Multiple,No,No,No,60,Driver,Female,54
NSW,18-Jan-17,Multiple,No,No,No,60,Passenger,Female,75
NSW,18-Jan-17,Multiple,No,No,No,60,Passenger,Male,79
WA,18-Jan-17,Single,No,No,No,110,Driver,Male,24
NT,18-Jan-17,Multiple,No,No,No,110,Driver,Male,17
NT,18-Jan-17,Multiple,No,No,No,110,Passenger,Female,66
NSW,20-Jan-17,Single,No,No,No,100,Driver,Male,36
NSW,21-Jan-17,Multiple,No,No,No,70,Motorcycle rider,Male,22
VIC,21-Jan-17,Multiple,No,No,No,60,Motorcycle rider,Male,75
QLD,21-Jan-17,Multiple,No,No,No,100,Motorcycle rider,Male,40
QLD,21-Jan-17,Multiple,No,No,No,90,Passenger,Female,52
QLD,21-Jan-17,Multiple,No,No,No,90,Passenger,Female,21
NSW,22-Jan-17,Single,No,No,No,100,Driver,Male,18
VIC,22-Jan-17,Multiple,No,No,No,100,Passenger,Male,52
NSW,23-Jan-17,Single,No,No,No,80,Driver,Male,59
NSW,23-Jan-17,Pedestrian,No,Yes,No,60,Pedestrian,Female,51
WA,23-Jan-17,Single,No,No,No,80,Driver,Male,79
NSW,24-Jan-17,Multiple,No,No,No,90,Motorcycle rider,Male,44
VIC,24-Jan-17,Multiple,Unknown,No,No,0,Motorcycle rider,Male,41
QLD,24-Jan-17,Multiple,No,No,No,100,Driver,Male,57
WA,24-Jan-17,Single,No,No,No,60,Motorcycle pillion passenger,Male,14
WA,24-Jan-17,Pedestrian,No,No,No,60,Pedestrian,Male,4
NSW,25-Jan-17,Multiple,Yes,No,Yes,100,Passenger,Female,78
VIC,25-Jan-17,Multiple,No,No,No,100,Driver,Male,24
NSW,27-Jan-17,Multiple,No,No,Yes,90,Driver,Male,17
NSW,27-Jan-17,Single,No,No,No,100,Driver,Male,62
VIC,27-Jan-17,Single,No,No,No,100,Driver,Male,18
SA,27-Jan-17,Multiple,No,No,No,90,Driver,Male,89
SA,27-Jan-17,Multiple,No,No,No,90,Passenger,Female,93
NSW,28-Jan-17,Single,No,Yes,No,70,Driver,Male,69
QLD,28-Jan-17,Single,No,No,No,80,Motorcycle pillion passenger,Female,49
WA,28-Jan-17,Single,No,No,No,20,Passenger,Male,19
WA,28-Jan-17,Single,No,No,No,70,Driver,Male,23
VIC,29-Jan-17,Pedestrian,No,No,No,100,Pedestrian,Male,23
QLD,29-Jan-17,Single,No,No,No,80,Motorcycle rider,Male,27
WA,29-Jan-17,Single,No,No,No,110,Passenger,Male,67
WA,29-Jan-17,Single,No,No,No,110,Passenger,Female,68
NSW,30-Jan-17,Multiple,No,No,No,100,Driver,Male,34
NSW,30-Jan-17,Multiple,No,No,No,100,Passenger,Female,52
QLD,31-Jan-17,Multiple,No,No,Yes,100,Driver,Female,79
QLD,31-Jan-17,Pedestrian,Yes,No,No,50,Pedestrian,Female,1
NT,31-Jan-17,Pedestrian,No,No,No,130,Pedestrian,Male,39
NSW,01-Feb-17,Single,No,No,No,80,Passenger,Male,88
VIC,02-Feb-17,Single,No,No,No,100,Driver,Male,76
QLD,02-Feb-17,Single,No,No,Yes,80,Driver,Male,59
NSW,03-Feb-17,Pedestrian,No,Yes,No,50,Pedestrian,Male,80
VIC,03-Feb-17,Single,No,No,No,100,Driver,Male,18
WA,03-Feb-17,Single,No,Yes,No,110,Driver,Male,58
QLD,04-Feb-17,Single,No,No,No,110,Driver,Female,59
QLD,05-Feb-17,Single,No,No,No,60,Motorcycle rider,Male,30
NT,05-Feb-17,Single,No,No,No,100,Driver,Male,20
NSW,06-Feb-17,Multiple,No,No,No,50,Passenger,Female,86
QLD,06-Feb-17,Multiple,No,No,No,60,Driver,Female,85
SA,06-Feb-17,Single,No,No,No,100,Passenger,Male,34
VIC,07-Feb-17,Single,No,No,Yes,100,Driver,Male,59
NSW,08-Feb-17,Multiple,No,No,Yes,80,Driver,Male,48
NSW,08-Feb-17,Multiple,No,No,Yes,110,Driver,Female,87
VIC,08-Feb-17,Single,No,No,No,100,Driver,Female,53
SA,08-Feb-17,Single,No,No,No,10,Driver,Female,93
VIC,09-Feb-17,Single,No,No,No,100,Driver,Male,62
NSW,10-Feb-17,Multiple,No,No,Yes,80,Driver,Male,15
QLD,10-Feb-17,Multiple,No,No,No,80,Driver,Male,62
SA,10-Feb-17,Multiple,No,No,Yes,100,Driver,Male,49
WA,10-Feb-17,Single,No,No,No,100,Passenger,Male,25
WA,10-Feb-17,Single,No,No,No,50,Motorcycle rider,Male,25
WA,10-Feb-17,Single,No,No,No,110,Passenger,Female,84
NSW,11-Feb-17,Single,No,No,No,100,Motorcycle rider,Male,47
WA,11-Feb-17,Single,No,No,No,110,Passenger,Male,83
NSW,12-Feb-17,Single,No,No,No,80,Driver,Male,22
NSW,12-Feb-17,Single,No,No,No,50,Driver,Male,34
QLD,12-Feb-17,Pedestrian,No,No,No,60,Pedestrian,Male,75
SA,12-Feb-17,Pedestrian,No,No,No,50,Pedestrian,Male,2
VIC,13-Feb-17,Multiple,No,No,No,60,Motorcycle rider,Male,33
VIC,15-Feb-17,Single,No,No,No,100,Driver,Male,70
QLD,15-Feb-17,Multiple,No,No,Yes,100,Driver,Female,19
QLD,15-Feb-17,Multiple,No,No,No,100,Driver,Male,20
NSW,16-Feb-17,Single,No,No,No,100,Driver,Female,36
NSW,16-Feb-17,Multiple,No,No,No,60,Motorcycle rider,Male,24
VIC,16-Feb-17,Single,No,No,No,80,Driver,Male,38
QLD,16-Feb-17,Single,No,No,No,100,Passenger,Female,18
NSW,17-Feb-17,Single,No,No,No,80,Driver,Male,38
VIC,17-Feb-17,Single,No,No,No,100,Driver,Male,55
VIC,17-Feb-17,Single,No,No,No,50,Passenger,Male,40
QLD,17-Feb-17,Multiple,No,No,No,60,Bicyclist,Male,50
QLD,17-Feb-17,Single,No,No,No,110,Passenger,Male,21
NSW,18-Feb-17,Multiple,No,No,Yes,110,Driver,Male,21
VIC,18-Feb-17,Single,No,No,No,100,Motorcycle rider,Male,43
QLD,18-Feb-17,Single,No,No,No,70,Driver,Female,68
WA,18-Feb-17,Single,No,No,No,110,Driver,Female,61
NSW,19-Feb-17,Multiple,No,No,No,110,Driver,Male,32
WA,19-Feb-17,Single,No,No,No,110,Driver,Male,62
VIC,20-Feb-17,Multiple,No,No,No,70,Driver,Male,41
TAS,20-Feb-17,Multiple,No,Yes,No,100,Motorcycle rider,Male,36
ACT,20-Feb-17,Multiple,No,No,No,60,Motorcycle rider,Male,22
NSW,21-Feb-17,Multiple,No,Yes,No,110,Driver,Female,39
QLD,21-Feb-17,Multiple,Yes,No,No,80,Driver,Male,82
VIC,22-Feb-17,Multiple,Unknown,No,No,0,Driver,Female,63
QLD,22-Feb-17,Single,No,No,No,100,Driver,Male,35
NSW,23-Feb-17,Multiple,No,Yes,No,80,Motorcycle rider,Male,45
NSW,23-Feb-17,Single,No,No,No,50,Passenger,Female,64
NSW,23-Feb-17,Multiple,No,No,No,60,Motorcycle rider,Male,34
VIC,23-Feb-17,Single,No,Yes,No,100,Driver,Male,25
NSW,24-Feb-17,Pedestrian,No,No,No,40,Pedestrian,Female,31
VIC,24-Feb-17,Multiple,No,Yes,No,80,Driver,Male,45
QLD,24-Feb-17,Pedestrian,Yes,No,No,50,Pedestrian,Male,22
QLD,25-Feb-17,Single,No,No,No,60,Passenger,Male,20
QLD,25-Feb-17,Single,No,No,No,60,Driver,Female,21
NT,25-Feb-17,Pedestrian,No,No,No,100,Pedestrian,Male,15
NT,25-Feb-17,Pedestrian,No,No,No,100,Pedestrian,Male,15
VIC,26-Feb-17,Multiple,No,No,No,100,Driver,Female,22
QLD,26-Feb-17,Single,No,No,No,80,Motorcycle rider,Male,34
VIC,27-Feb-17,Multiple,No,No,No,110,Driver,Male,78
VIC,27-Feb-17,Single,No,No,No,100,Driver,Male,40
SA,27-Feb-17,Pedestrian,No,No,Yes,110,Pedestrian,Female,35
VIC,28-Feb-17,Single,No,No,No,100,Driver,Male,70
QLD,28-Feb-17,Multiple,No,No,No,100,Driver,Male,56
QLD,01-Mar-17,Single,No,No,No,100,Driver,Male,39
SA,01-Mar-17,Single,No,No,No,70,Motorcycle rider,Male,22
SA,01-Mar-17,Multiple,No,No,No,40,Motorcycle rider,Male,23
NSW,02-Mar-17,Multiple,No,No,No,50,Driver,Female,50
QLD,02-Mar-17,Multiple,Yes,No,No,60,Motorcycle rider,Male,61
VIC,03-Mar-17,Pedestrian,No,No,No,60,Pedestrian,Female,50
QLD,03-Mar-17,Multiple,No,Yes,No,80,Driver,Male,42
VIC,04-Mar-17,Single,No,No,No,0,Driver,Male,26
QLD,04-Mar-17,Multiple,No,No,No,60,Passenger,Male,20
SA,04-Mar-17,Pedestrian,No,No,No,50,Pedestrian,Male,33
WA,05-Mar-17,Single,No,No,No,110,Driver,Female,25
QLD,06-Mar-17,Single,No,No,No,60,Motorcycle rider,Male,64
SA,06-Mar-17,Single,No,No,No,90,Driver,Male,53
WA,06-Mar-17,Single,No,No,No,110,Driver,Female,55
NSW,07-Mar-17,Multiple,No,No,No,110,Driver,Female,49
NSW,07-Mar-17,Multiple,No,No,No,110,Passenger,Male,7
VIC,07-Mar-17,Single,No,No,No,100,Driver,Female,20
WA,07-Mar-17,Single,No,No,No,50,Motorcycle rider,Male,17
SA,09-Mar-17,Single,No,No,Yes,60,Driver,Male,60
WA,09-Mar-17,Single,No,No,No,110,Driver,Male,34
WA,09-Mar-17,Single,No,No,No,60,Motorcycle rider,Male,52
TAS,09-Mar-17,Single,No,No,No,50,Motorcycle rider,Male,16
NSW,10-Mar-17,Multiple,Yes,No,No,80,Driver,Male,18
NSW,10-Mar-17,Single,No,No,No,100,Motorcycle rider,Male,33
VIC,10-Mar-17,Multiple,No,No,Yes,60,Bicyclist,Female,35
VIC,11-Mar-17,Single,No,No,No,80,Passenger,Male,65
QLD,11-Mar-17,Multiple,No,No,No,70,Passenger,Female,28
SA,11-Mar-17,Single,No,No,No,110,Driver,Male,19
WA,11-Mar-17,Single,No,No,No,20,Passenger,Female,48
NSW,12-Mar-17,Pedestrian,No,No,No,40,Pedestrian,Male,52
VIC,12-Mar-17,Single,No,No,No,100,Driver,Male,19
QLD,12-Mar-17,Single,No,No,No,70,Motorcycle rider,Male,39
NSW,13-Mar-17,Single,No,No,No,100,Driver,Male,43
VIC,13-Mar-17,Multiple,No,No,No,100,Motorcycle rider,Male,30
WA,13-Mar-17,Single,No,No,No,60,Other/unknown,Female,98
VIC,14-Mar-17,Pedestrian,No,No,No,50,Pedestrian,Male,13
WA,14-Mar-17,Pedestrian,No,No,No,50,Pedestrian,Male,7
NSW,15-Mar-17,Single,No,No,No,100,Passenger,Male,43
NSW,15-Mar-17,Single,No,No,No,80,Driver,Male,19
NSW,16-Mar-17,Multiple,No,No,No,100,Driver,Male,63
NSW,16-Mar-17,Multiple,No,No,No,100,Motorcycle rider,Male,47
VIC,16-Mar-17,Multiple,No,Yes,No,80,Driver,Male,28
VIC,17-Mar-17,Multiple,No,No,Yes,100,Driver,Male,49
SA,17-Mar-17,Single,No,No,No,50,Driver,Male,64
NT,17-Mar-17,Single,No,No,No,80,Passenger,Male,32
QLD,18-Mar-17,Pedestrian,No,No,No,50,Pedestrian,Male,75
TAS,18-Mar-17,Multiple,No,No,No,100,Motorcycle rider,Male,47
VIC,19-Mar-17,Multiple,No,No,No,80,Driver,Female,35
QLD,19-Mar-17,Single,No,No,No,80,Passenger,Female,18
QLD,20-Mar-17,Multiple,No,No,Yes,100,Passenger,Male,22
NSW,21-Mar-17,Pedestrian,No,No,No,50,Pedestrian,Male,3
VIC,21-Mar-17,Single,No,No,No,70,Motorcycle rider,Male,34
VIC,21-Mar-17,Single,No,No,No,100,Other/unknown,Male,47
WA,21-Mar-17,Single,No,No,No,110,Driver,Male,32
WA,22-Mar-17,Single,No,No,No,70,Bicyclist,Male,74
NSW,23-Mar-17,Multiple,No,No,Yes,100,Passenger,Male,72
NSW,23-Mar-17,Pedestrian,No,No,Yes,60,Pedestrian,Male,62
QLD,23-Mar-17,Multiple,No,No,Yes,80,Driver,Male,21
WA,23-Mar-17,Single,No,No,No,50,Passenger,Male,27
NSW,24-Mar-17,Multiple,No,No,Yes,100,Driver,Male,39
NSW,24-Mar-17,Multiple,No,No,Yes,100,Driver,Male,32
VIC,24-Mar-17,Single,No,No,No,60,Driver,Male,27
VIC,24-Mar-17,Single,No,No,No,100,Driver,Male,39
VIC,24-Mar-17,Multiple,No,No,Yes,100,Driver,Male,27
VIC,24-Mar-17,Multiple,No,No,No,100,Bicyclist,Male,66
WA,24-Mar-17,Single,No,No,Yes,80,Motorcycle rider,Male,54
NSW,25-Mar-17,Single,No,No,No,100,Motorcycle pillion passenger,Female,50
NSW,25-Mar-17,Single,No,No,No,100,Driver,Female,27
NSW,25-Mar-17,Single,No,No,No,70,Driver,Male,18
NSW,25-Mar-17,Single,No,No,No,70,Passenger,Female,17
NSW,25-Mar-17,Single,No,No,No,100,Motorcycle rider,Male,51
VIC,25-Mar-17,Single,No,No,No,60,Passenger,Male,22
VIC,25-Mar-17,Single,No,No,No,80,Driver,Male,24
NSW,26-Mar-17,Pedestrian,No,No,No,50,Pedestrian,Female,3
NSW,27-Mar-17,Multiple,No,Yes,No,60,Motorcycle rider,Male,35
NSW,27-Mar-17,Single,No,No,No,100,Motorcycle rider,Male,56
NSW,27-Mar-17,Pedestrian,No,No,No,60,Pedestrian,Female,71
QLD,27-Mar-17,Multiple,No,No,No,100,Driver,Male,76
QLD,27-Mar-17,Multiple,No,No,No,100,Passenger,Female,30
VIC,28-Mar-17,Single,No,No,No,100,Motorcycle rider,Male,54
NSW,29-Mar-17,Multiple,No,No,Yes,100,Driver,Male,46
NSW,29-Mar-17,Single,No,No,No,60,Driver,Male,35
NSW,29-Mar-17,Pedestrian,No,No,No,50,Pedestrian,Male,81
NSW,29-Mar-17,Multiple,No,No,No,70,Driver,Male,91
WA,29-Mar-17,Single,No,No,No,110,Driver,Male,79
VIC,30-Mar-17,Single,Unknown,No,No,0,Driver,Male,85
VIC,30-Mar-17,Multiple,No,No,Yes,100,Driver,Male,56
SA,30-Mar-17,Single,No,No,No,100,Driver,Male,54
WA,30-Mar-17,Single,No,No,No,110,Driver,Male,53
NT,30-Mar-17,Single,No,No,No,60,Motorcycle rider,Male,22
NSW,31-Mar-17,Multiple,No,No,No,100,Driver,Male,30
QLD,31-Mar-17,Multiple,No,No,No,100,Driver,Female,75
WA,31-Mar-17,Single,No,No,No,110,Driver,Male,85
ACT,31-Mar-17,Multiple,No,No,No,100,Bicyclist,Male,35
NSW,01-Apr-17,Single,No,No,No,80,Motorcycle rider,Male,44
NSW,01-Apr-17,Single,No,No,No,100,Motorcycle rider,Male,26
WA,01-Apr-17,Single,Yes,No,No,70,Passenger,Male,16
WA,01-Apr-17,Pedestrian,No,No,No,50,Pedestrian,Female,21
NT,01-Apr-17,Single,No,No,No,130,Driver,Male,50
NSW,02-Apr-17,Single,No,No,No,50,Driver,Male,17
WA,02-Apr-17,Single,No,No,No,110,Driver,Male,22
NSW,03-Apr-17,Single,No,No,No,100,Passenger,Female,11
NSW,03-Apr-17,Single,No,No,No,100,Driver,Female,43
NSW,03-Apr-17,Single,No,No,No,100,Passenger,Male,7
VIC,03-Apr-17,Single,No,No,No,110,Driver,Male,73
WA,03-Apr-17,Single,No,No,No,50,Motorcycle rider,Male,38
NSW,04-Apr-17,Multiple,No,No,Yes,90,Driver,Female,39
NSW,04-Apr-17,Multiple,No,No,Yes,90,Passenger,Male,14
NSW,04-Apr-17,Multiple,No,No,Yes,100,Passenger,Female,52
VIC,04-Apr-17,Single,Unknown,No,No,0,Bicyclist,Male,64
QLD,04-Apr-17,Single,No,No,No,80,Driver,Male,37
NSW,05-Apr-17,Multiple,No,Yes,No,80,Motorcycle rider,Female,48
SA,05-Apr-17,Single,No,No,No,100,Driver,Male,26
SA,05-Apr-17,Multiple,No,No,No,50,Motorcycle rider,Male,66
VIC,06-Apr-17,Single,No,No,Yes,80,Driver,Male,40
VIC,07-Apr-17,Multiple,Unknown,No,Yes,0,Driver,Male,77
VIC,07-Apr-17,Multiple,No,No,No,70,Driver,Male,89
VIC,07-Apr-17,Pedestrian,No,Yes,No,60,Pedestrian,Male,19
VIC,07-Apr-17,Multiple,Unknown,No,No,0,Driver,Male,26
QLD,07-Apr-17,Single,No,No,No,50,Driver,Male,30
QLD,07-Apr-17,Multiple,No,No,No,100,Passenger,Female,101
WA,07-Apr-17,Single,No,No,No,80,Motorcycle rider,Male,44
NSW,08-Apr-17,Multiple,No,No,No,100,Motorcycle rider,Female,44
QLD,08-Apr-17,Single,No,No,No,100,Passenger,Male,31
WA,08-Apr-17,Single,No,No,No,110,Passenger,Female,28
WA,08-Apr-17,Single,No,No,No,110,Other/unknown,Female,0
WA,08-Apr-17,Single,No,No,No,80,Motorcycle rider,Male,66
VIC,09-Apr-17,Single,No,No,No,80,Passenger,Male,19
VIC,09-Apr-17,Single,No,No,No,80,Passenger,Male,19
QLD,09-Apr-17,Multiple,No,No,No,60,Driver,Female,79
TAS,09-Apr-17,Single,No,No,No,50,Passenger,Male,25
VIC,10-Apr-17,Single,Yes,No,No,100,Passenger,Male,38
WA,10-Apr-17,Single,No,No,No,50,Driver,Female,21
VIC,11-Apr-17,Single,No,No,No,100,Driver,Male,33
WA,11-Apr-17,Single,No,Yes,No,100,Driver,Male,18
NSW,12-Apr-17,Multiple,No,No,No,100,Driver,Male,59
VIC,12-Apr-17,Single,Unknown,No,No,0,Driver,Male,69
VIC,12-Apr-17,Multiple,No,No,No,100,Passenger,Female,75
VIC,12-Apr-17,Multiple,No,No,No,100,Driver,Male,79
NSW,13-Apr-17,Single,No,No,No,100,Driver,Male,38
NSW,13-Apr-17,Multiple,No,No,No,100,Driver,Male,27
VIC,13-Apr-17,Single,Unknown,No,No,0,Driver,Male,19
NT,13-Apr-17,Pedestrian,No,No,No,80,Pedestrian,Male,47
VIC,14-Apr-17,Multiple,No,No,No,100,Bicyclist,Male,55
WA,14-Apr-17,Single,No,No,No,50,Passenger,Male,18
NSW,15-Apr-17,Single,No,No,No,110,Motorcycle rider,Male,36
NSW,15-Apr-17,Pedestrian,No,No,No,50,Pedestrian,Male,68
VIC,15-Apr-17,Multiple,No,No,No,100,Driver,Male,91
NSW,17-Apr-17,Single,No,No,No,80,Driver,Male,51
QLD,17-Apr-17,Multiple,No,No,No,100,Passenger,Male,22
QLD,17-Apr-17,Multiple,No,No,No,100,Driver,Female,30
NSW,18-Apr-17,Single,No,No,No,110,Driver,Female,50
VIC,18-Apr-17,Multiple,No,No,No,100,Driver,Male,21
VIC,18-Apr-17,Pedestrian,No,No,No,60,Pedestrian,Male,85
VIC,18-Apr-17,Single,Unknown,No,No,0,Bicyclist,Male,77
QLD,18-Apr-17,Multiple,No,No,No,60,Motorcycle rider,Male,34
SA,18-Apr-17,Multiple,No,No,Yes,80,Driver,Female,18
WA,18-Apr-17,Single,No,No,No,60,Motorcycle rider,Male,29
NSW,19-Apr-17,Single,No,No,No,100,Passenger,Female,75
NSW,19-Apr-17,Single,No,No,No,100,Passenger,Female,18
NSW,19-Apr-17,Pedestrian,Yes,No,No,50,Pedestrian,Male,72
VIC,19-Apr-17,Multiple,No,No,No,100,Passenger,Female,69
QLD,19-Apr-17,Multiple,No,No,No,100,Passenger,Male,90
SA,19-Apr-17,Multiple,No,No,No,110,Driver,Male,58
WA,19-Apr-17,Single,No,No,No,110,Driver,Male,19
NSW,20-Apr-17,Single,No,No,No,60,Motorcycle rider,Male,70
WA,20-Apr-17,Single,No,No,No,60,Bicyclist,Male,24
VIC,21-Apr-17,Pedestrian,No,No,No,60,Pedestrian,Male,4
VIC,21-Apr-17,Multiple,No,Yes,No,100,Driver,Male,68
VIC,21-Apr-17,Single,No,No,No,100,Driver,Male,54
VIC,21-Apr-17,Pedestrian,Unknown,No,No,0,Pedestrian,Male,43
SA,21-Apr-17,Multiple,No,No,No,60,Driver,Male,64
WA,21-Apr-17,Single,No,No,No,80,Driver,Male,90
VIC,23-Apr-17,Multiple,No,No,No,100,Motorcycle rider,Male,27
QLD,24-Apr-17,Single,No,No,No,100,Passenger,Male,90
SA,24-Apr-17,Multiple,No,No,No,60,Driver,Female,85
WA,24-Apr-17,Single,No,No,No,90,Driver,Male,36
NSW,25-Apr-17,Single,No,No,No,100,Driver,Male,34
NSW,25-Apr-17,Single,No,No,No,50,Driver,Male,20
VIC,25-Apr-17,Multiple,Unknown,No,No,0,Motorcycle rider,Male,40
SA,25-Apr-17,Single,No,No,No,50,Driver,Female,82
NSW,26-Apr-17,Pedestrian,No,Yes,No,40,Pedestrian,Female,5
NSW,26-Apr-17,Single,No,No,No,100,Motorcycle rider,Male,61
NSW,26-Apr-17,Multiple,No,Yes,No,60,Passenger,Female,72
SA,26-Apr-17,Multiple,No,No,No,110,Driver,Male,31
SA,26-Apr-17,Multiple,No,No,No,110,Driver,Male,56
NSW,27-Apr-17,Multiple,No,No,No,100,Driver,Male,56
WA,28-Apr-17,Single,No,No,No,60,Motorcycle rider,Male,22
NSW,29-Apr-17,Multiple,No,No,No,60,Bicyclist,Male,50
QLD,29-Apr-17,Single,No,No,No,80,Motorcycle rider,Male,32
WA,29-Apr-17,Single,No,No,No,70,Passenger,Male,32
WA,29-Apr-17,Single,No,No,No,70,Driver,Female,22
NSW,30-Apr-17,Single,No,No,No,100,Motorcycle rider,Male,69
NSW,30-Apr-17,Multiple,No,No,Yes,80,Motorcycle rider,Male,25
VIC,30-Apr-17,Multiple,No,No,No,70,Motorcycle rider,Male,46
QLD,30-Apr-17,Multiple,No,No,No,60,Motorcycle rider,Male,48
NT,30-Apr-17,Single,No,No,No,110,Driver,Male,19
VIC,01-May-17,Single,No,No,No,60,Driver,Female,30
NSW,02-May-17,Multiple,No,No,Yes,110,Passenger,Male,49
VIC,02-May-17,Single,No,No,No,100,Driver,Female,18
QLD,02-May-17,Multiple,No,No,No,50,Driver,Female,46
QLD,02-May-17,Multiple,No,No,No,80,Motorcycle rider,Male,40
TAS,02-May-17,Multiple,No,No,No,80,Driver,Male,89
QLD,03-May-17,Multiple,No,No,No,50,Motorcycle rider,Male,39
NSW,04-May-17,Multiple,No,Yes,Yes,80,Motorcycle rider,Male,40
NSW,04-May-17,Single,No,No,No,90,Driver,Male,40
VIC,04-May-17,Multiple,Unknown,No,No,0,Bicyclist,Male,51
QLD,04-May-17,Single,No,Yes,No,100,Driver,Male,37
SA,04-May-17,Single,No,No,No,80,Motorcycle rider,Male,40
NSW,05-May-17,Single,Yes,No,No,50,Passenger,Male,75
VIC,05-May-17,Multiple,Unknown,No,No,0,Motorcycle rider,Male,49
NSW,06-May-17,Multiple,No,No,Yes,110,Passenger,Male,12
NSW,06-May-17,Multiple,No,No,Yes,110,Passenger,Male,9
NSW,06-May-17,Multiple,No,No,No,50,Driver,Male,86
NSW,06-May-17,Multiple,No,No,No,60,Motorcycle rider,Female,45
QLD,06-May-17,Single,No,No,No,80,Driver,Female,23
VIC,08-May-17,Multiple,No,No,No,60,Motorcycle rider,Male,68
VIC,08-May-17,Single,Unknown,No,No,0,Driver,Female,26
QLD,09-May-17,Single,No,No,No,100,Motorcycle rider,Female,40
VIC,10-May-17,Single,No,No,No,60,Driver,Female,27
QLD,10-May-17,Multiple,No,No,No,70,Bicyclist,Male,16
SA,10-May-17,Single,No,No,No,100,Driver,Male,59
ACT,10-May-17,Multiple,No,No,No,80,Driver,Male,91
NSW,11-May-17,Single,No,No,No,50,Motorcycle rider,Male,21
QLD,11-May-17,Multiple,No,No,Yes,100,Driver,Male,34
QLD,11-May-17,Multiple,No,No,No,100,Driver,Female,54
NSW,12-May-17,Multiple,No,No,No,100,Driver,Female,62
VIC,12-May-17,Single,No,No,No,70,Driver,Male,22
NSW,13-May-17,Single,No,No,No,100,Driver,Male,28
